,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Marketing Data Analyst,$35K-$65K (Glassdoor est.),"Overview


As a key member of the Analytics team, the Senior Marketing Analyst will be responsible for data-driven insights that enable eFinancial and Fidelity Life Association to optimize business processes and grow rapidly. The Senior Marketing Analyst will gather, organize and aggregate large sets of data in order to produce meaningful business insight in areas such as lead management, call center effectiveness, marketing spend effectiveness, and revenue generation. If you would love being an owner-operator of a fast-growing complex online business with modern technology stacks, building analytical and infrastructure solutions, and driving profitability via analytics, the Senior Marketing Analyst role is for you!

Responsibilities
Own the end-to-end lead performance management analytics to maximize risk-adjusted lifetime value generated by converting marketing spend into revenue
Develop lead / traffic forecasts by marketing channel, interpret sales conversion data, analyze and monitor results and recommend adjustments to keep marketing spend efficiency on track
Develop point solutions such as dynamic bidding models to guide lead and media buy
Work effectively with cross-functional partners in Business Intelligence, Marketing, and Finance to keep data initiatives on track, and provide periodic sales lead performance reporting to management team
Extract/extrapolate trends from competitor, user behavior, and market positioning analyses and recommend tangible opportunities for Business Development teams to maximize value of marketing relationships
Qualifications
Proven analytical and quantitative skills and an ability to use hard data and metrics to back up assumptions, develop business cases, and complete root cause/ analyses
Strong verbal and written communications skills that enable you to explain complex insights with clarity and precision to executive management
Experience developing insights across various areas of customer related data: financial, product and marketing
Proficiency in MS SQL/MySQL, Tableau/PowerBI and mastery of Microsoft Suite (Excel)
Knowledge of cloud-based data structures including Redshift, and programming languages such as Python a huge plus
An analytical mindset with relevant education such as a Bachelor’s degree in Mathematics, Statistics, Engineering, Economics, Finance or any related field
2-5 years of experience as a Data/Business/Financial Analyst with large, complex data sources
EEOC/Other


eFinancial is an equal opportunity employer and supports a diverse workplace. As an eFinancial employee, you will be eligible for Medical and Dental Insurance, Health Savings Accounts, Flexible Spending Accounts (Health, Dependent Care & Transit), Vision Care, 401(K), Short-term and Long-term Disability, Life and AD&D coverages.",3.5,"Efinancial
3.5","Tempe, AZ","Bellevue, WA",201 to 500 employees,2001,Company - Private,Insurance Agencies & Brokerages,Insurance,$50 to $100 million (USD),-1
1,Data Analyst,$35K-$65K (Glassdoor est.),"What are we looking for in a Data Analyst?

As a member of the Information Services department, the Data Analyst supports Comprehensive?s technology and business initiatives by coordinating the collection, storage, and utilization of essential data. This position will work closely with leadership and other staff to determine data needs for specific projects or ad hoc requests, and then gather, interpret, and present the information to the team. The work of the Data Analyst will impact day-to-day clinic operations as well as business decisions, so a high degree of accuracy, thoroughness, and timeliness are essential. Previous experience performing data analytics in the healthcare field is required.

Data Analyst duties may include:
integrating data from internal & external sources and performing extract, transform, and load operations to data in various applications
analyzing data to identify and interpret patterns or trends in data sets
performing data audits to identify problem areas & implementing strategies to optimize data integrity and process improvements
assisting with the design & implementation of database warehouse structure and developing standards for the design of data elements
supporting the implementation, testing, and validation of data & software systems
assisting with ongoing data architecture processes & governance
providing Tier II technical support to employees
documenting all work as necessary
Education & Experience: Bachelor's degree in computer science or a related field and three years of related data analysis experience in a healthcare setting.

Other Requirements: Driver's License, Vehicle Liability Insurance",2.6,"Comprehensive Healthcare
2.6","Yakima, WA","Yakima, WA",501 to 1000 employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
2,Data Analyst/Programmer,$35K-$65K (Glassdoor est.),"Data Analyst/Programmer

Marks Paneth LLP is a premier accounting firm with origins dating back to 1907. With a team of nearly 700 professionals, the firm provides a full range of audit, accounting, tax and consulting services, with specialties in international tax, forensic accounting, litigation support, technology services, family office and financial advisory services.

Located in out Washington, DC office, Marks Paneth’s international trade remedies consultants have extensive experience assisting law firms and their clients in antidumping and countervailing duty investigations and reviews of governmental authorities in the US, European Union, China, Mexico, Australia and Brazil.

Leveraging our extensive knowledge of US and foreign government laws, regulations and practices, we have developed systematic and proven practices for supporting respondents and petitioners participating in trade remedies cases around the world.

Our consultants help to achieve the most favorable outcomes possible in each proceeding by developing case-specific reporting methodologies that are acceptable and verifiable by governing authorities.

AREAS OF SPECIALIZATION INCLUDE:

· Antidumping and Countervailing Duty Investigations

· Antidumping Duty Proceedings

· Margin Analysis

· Margin Monitoring and Target Pricing

· Countervailing Duty Proceedings

· Customs Compliance and Analysis

We are currently seeking a Data Analyst/Programmer for to join our team!

Knowledge, Skills and Abilities:

Candidates for the Data Analyst/Programmer position must be able to perform unstructured data analysis, clean and consolidate data from multiple sources, develop quality and organizational controls unique to specific projects, adapt to established standards, redefine standards as appropriate, research and learn the best tools for specific types of analysis, demonstrate the accuracy and appropriateness of their methods, work independently or with a team, communicate technical information effectively to non-technical participants, and have proficiency in Excel

Requirements and Qualifications:

Bachelor’s degree and 4+ years of work experience performing data analysis using SAS including SAS macros and SQL. A successful candidate will also be flexible with their work hours; have excellent oral and written communication skills; and, be able to work under pressure, accommodate shifting priorities and manage multiple projects simultaneously. Occasional domestic or international travel may be required. Previous consulting experience is preferred. Professional and personal references requested.

Essential Functions / Primary Responsibilities:

· All aspects of preparing data for submission to various governing bodies in connection with anti-dumping and countervailing duty proceedings including combining data from a variety of sources into a specified format.

· Application of anti-dumping and countervailing duty regulations and practices to various analyses.

· Ad hoc analysis, data cleaning and validation of sales transactions, production costs, accounting data, and import and export trade statistics.

· Calculation of margin estimates and target pricing.

· Reconciliation of dumping margins and other calculation results from government authorities to firm estimates.

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, creed, color, religion, sex, sexual orientation, gender identity, national origin, marital status, citizen status, age, disability, military or protected veteran status, genetic predisposition or carrier status or any other legally protected status. Marks Paneth takes affirmative action in support of its policy to and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

Please visit our website as well at: www.markspaneth.com",3.8,"Mark Paneth
3.8","Washington, DC","New York, NY",501 to 1000 employees,1907,Private Practice / Firm,Accounting,Accounting & Legal,$100 to $500 million (USD),-1
3,Data Analyst,$35K-$65K (Glassdoor est.),"WHO WE ARE

NCSOFT is a premiere digital entertainment company and global publisher with worldwide locations and more than 4,000 employees focused on bringing extraordinary games to life for millions of fans around the world. Established in 1997 and headquartered in Seoul, South Korea, we quickly became a key leader in online games. Best known for critically acclaimed franchises including Lineage, Aion, Guild Wars, and Blade & Soul, NCSOFT is also one of the world's top mobile developers with Lineage 2M occupying the #1 grossing revenue slot on Google Play. Our core goal is making people in this world happier by delivering games that entertain a globally connected audience has remained the same. Our culture is innovative, creative, collaborative and impactful, and we are passionate about creating the best gaming experiences for our players.

WHY JOIN THE ANALYTICS TEAM?
You have a burning curiosity. Being a successful data analyst or data scientist is all about having a question and going digging for the answer. A good analyst has an innate need to explore and understand the world around them.
You're fascinated by all the different ways people play games. Millions of people play our games in all sorts of different ways, and they all need to be able to have fun. Our job is understanding all those different playstyles so we can make the game work for everyone.
You want to be our players' champion. Once we understand what's going on in the data, the next step is using that knowledge to make the game better for our players. We want analysts who can be passionate advocates for the data and the player experience it represents.
WHAT YOU'LL DO

As a Data Analyst you will work across multiple released and unreleased titles collecting data, generating reports, and analyzing player behavior.
Analyze game systems, economies, and player behavior to drive game development and business practices that maximize player enjoyment and profitability
Understand, analyze, and predict trends in player data.
Collect and help to elaborate on data reporting requirements, primarily from game design, customer service, and business departments.
Generate reports from accumulated data using SQL, Excel, R, Python and Tableau, as well as defining automated procedures related to data collection.
Communicate findings, actionable recommendations, and data limitations to stakeholders to facilitate data-driven decisions.
Formulate process improvement suggestions through ad hoc analyses and data mining.
Take ownership of data integrity to ensure that the data are correctly supporting the analyses and recommendations being proposed.
Develop new insights and analyses that inform decisions and help us continue to improve gameplay
Analyze game-specific data and pro-actively make recommendations to Product Managers, Game Producers, Game Designers and UX Designers
Devise and run game-specific A/B tests to directly and indirectly drive KPI improvements
Work collaboratively with the Business Intelligence team to share best practices, problem solve and deliver large projects on time.
WHAT YOU'LL NEED TO BE SUCCESSFUL
Bachelor's degree in Computer Science, Statistics, Mathematics, Economics or related field, or equivalent experience with data analytics
Experience using SQL to query for and to aggregate data
Understanding of game design and in-game economies
Strong communications skills and ability to work on a team
Ability to change directions quickly based on business, project, and team needs
Ability to effectively communicate complex findings and ideas simply
Drive quality improvements of team's code through reviews and feedback
Experience using descriptive and inferential statistics to analyze and present findings
Experience using visualization techniques for presenting data and analysis
Experience working with business teams to identify and define problems
PLUSES
Previous mobile game analytics experience
Experience with big data software like Hadoop
Experience with other Business Intelligence backend and analytics applications
This is a full time, on-site position at our studio in San Mateo, CA. A casual, friendly work environment, comprehensive benefits package, a competitive salary, and more are all part of what makes NCSOFT West a great place to work.",3.0,"NCSOFT
3.0","San Mateo, CA","Seoul, South Korea",1001 to 5000 employees,1997,Company - Public,Video Games,Media,$10+ billion (USD),"Blizzard Entertainment, Riot Games, Electronic Arts"
4,Data Analyst,$35K-$65K (Glassdoor est.),"The mission of Success Academies is to reimagine public education. From the classroom to the halls of government, this means finding profoundly different approaches to how we structure, implement and support schooling. We reconceive every aspect of school design, from writing rigorous new curricula to drawing regularly on the advances in technology and business that are transforming every sector except education.

Over the past decade, Success Academies has grown faster than any charter network in the nation, building a vibrant network of 47 elementary, middle and high schools. Our ~16,000 children mostly poor and minority are out-performing students at top city and suburban schools across New York State. Our goals for our second decade are even more ambitious: to grow to 100 schools and to educate 50,000 children across New York City in a uniquely holistic pre-k-12 system, bringing transformational change here and across the country. At 100 schools, we will graduate 3,000 scholars each year who are prepared to enter, persist and graduate from college and eventually to lead in business, government and civic realms.

Scaling schooling excellence as we rapidly grow is an imperative. To further position the organization to do this, Success Academies is prioritizing the continued build out of a scalable, technology enabled model for operating and managing its schools by establishing a School Management Services capability that is intended to deliver an enhanced set of services to better support our network schools. A key pillar of School Management Services is Data & Analytics -- data science, analytics and reporting combined represent a critical function to enable our enterprise to be truly data-driven. An enhanced Data & Analytics capability is needed to put in place a baseline of actionable management reporting that adheres to high reporting standards, generates standard and ad-hoc reporting, and performs meaningful analytics.

The Data Analyst reports to the Director of Enterprise Data & Analytics.


In this role, you will:
Produce actionable data insights for our network of schools in the form of interactive dashboards and visualizations, ad hoc reports and analysis.
Act as a product manager developing expertise and a vision in one or more domains of schooling data, producing brilliant dashboards and reports while striving for continuous, iterative improvement based on research and feedback from users.
Continuously partner with Network and School-based staff to understand school and business data needs and translate those requirements into high-quality work.
Serve as a steward of data integrity, applying rigorous standards for calculation of metrics and helping to drive adoption of data governance and data security best practices.
Do the work of extracting, transforming and analyzing data with well-formed SQL queries and data and scientific libraries.
Be comfortable working in and presenting data in spreadsheets when that is the right solution.
Be a change agent and drive innovation with your own ideas.
Work in an energetic office on the waterfront in Lower Manhattan, and spend time in our network of high-performing schools where you will be able to see how your work impacts the lives of our scholars, teachers and school leaders.
Wed love to hear from you if:
You have spent 2-5 years in a similar data analytics role or have equivalent technical competence and experience in education.
Have a demonstrated passion for data and working in data-driven organizations.
Can construct elegant SQL queries and will keep profiling and optimizing them until they are as efficient as possible.
Have familiarity with data warehouse technologies and best practices.
Have experience with one or more data BI visualization tools (we are using Sisense) and/or libraries such as D3.
Have a high level of comfort using the Python scientific and data libraries, particularly Pandas (or strong familiarity with a comparable system like R, and a strong willingness to learn Python/Pandas).
Are comfortable working with ambiguity and possess the discipline to strive for simplicity, clarity and accuracy.
Possess top-notch communication skills that allow you to partner with a diverse set of stakeholders and present to executive audiences.
Are excited by the opportunity to help reimagine public education.",3.1,"Success Academy Charter Schools
3.1","New York, NY","New York, NY",1001 to 5000 employees,2006,School / School District,K-12 Education,Education,$100 to $500 million (USD),-1
5,Data Analyst,$35K-$65K (Glassdoor est.),"Do you love data? Do you thrive on digging for info to answer complex questions and solve head-scratching problems? If you say yes, you might be part of the next generation of data scientists we’re looking for! This entry-level position will assist in prepping raw data for analysis, running and monitoring statistical models, and preparing findings for internal and external use.

The role

No two days at Suds Creative are the same, but in general you can expect to:
•Use statistical methods to analyze data and generate useful business reports
•Work with our management team to create a prioritized list of needs for each business segment
•Identify and recommend new ways to gain revenue by streamlining analytic processes
•Use data to create models that depict trends in the customer base and the consumer population as a whole
•Work with departmental managers to outline the specific data needs for each business method analysis project

You’re most likely to succeed in this role if you:
•Have 1-3 year of experience in data management
•Are a self-motivated, autonomous problem solver
•Understand data work is 80% prep–the successful candidate must know that when developing new tools, brute force may be required to shape the data
•Have a high degree of comfortability in Excel
•Have functional knowledge of various statistical tools (Regression, ANOVA, ARIMA, Clustering, and PCA)
•Bring to the table natural curiosity and the ability to adapt models to the available data

Nice to haves:
• Background in mathematics, finance, statistics or business
• Proven track record of communicating complex findings in a digestible format
• SQL database management expertise
• Experience with R-Studio, Rattle, Alteryx, Tableau, SPSS, or Python
• ODBC and API management experience

Benefits& pay

We will invest in your professional development and create an environment where you will be given an opportunity to grow and develop your career. We offer a competitive compensation and a wide range of benefits, including paid time off, health insurance with company HSA contribution, dental, vision, 401(k) with company match, life insurance, and disability insurance. Plus, your favorite beverage will be stocked in our refrigerator!

Work environment
At Suds Creative, we strive to foster a relaxed, friendly work environment that encourages creativity and collaboration. We are a quickly expanding company seeking someone who wants to grow alongside us as we take on new and exciting projects.",3.6,"DRB Systems
3.6","Meridian, ID","Akron, OH",201 to 500 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),-1
6,Report Writer-Data Analyst,$35K-$65K (Glassdoor est.),"Plans, designs, maintains, develops, and implements enterprise wide reports and dashboards for use within the Home Office and Field Operations. This position is vital in helping information flow more fluidly throughout the Company.
Duties and Responsibilities:
· Works with internal customers, including field operators, to gather specifications for data and report requirements
· Utilizes and maintains a formal report writing process
· Creates, maintains, optimizes, and supports new and existing moderately complex reports as specified by end users
· Executes a data integrity/consistency plan for monitoring data across multiple platforms on a regular basis
· Develops SQL queries to extract, manipulate and/or calculate information to fulfill data and reporting requirements
· Creates and maintains a positive relationship with our user community
· Prompt and regular attendance is required
Requirements:
Job Requirements:
· Knowledge and experience with SQL queries
· Demonstrated organizational, analytical, and project management skills
· Ability to communicate verbally and in writing
· Ability to build collaborative relationships
· Ability to give presentations to groups consisting of IT, Management, and frontline staff
Physical Requirements:
This is an office position that consistently operates a computer and other office productivity machinery, such as a calculator, copy machine, and computer printer. Requires the ability to communicate verbally and in writing.
Educational Requirements:
Bachelor’s degree preferred.
This position is subject to a background check for any convictions directly related to its duties and responsibilities. Only job-related convictions will be evaluated and will not automatically disqualify the candidate.",3.2,"Security Finance Corporation of Spartanburg
3.2","Spartanburg, SC","Spartanburg, SC",1001 to 5000 employees,1955,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
7,Data Analyst,$35K-$65K (Glassdoor est.),"At Equiscript, we improve access to healthcare in the communities we serve. We are able to do this through the motivation, ingenuity, and dedication of our talented team.

Are you looking for a career where you can be part of a successful, growing business that is doing meaningful work in communities across the country?

Located in historic North Charleston and Salt Lake City, Equiscript has been on the Inc. 5000 list of Fastest Growing Companies in the United States for the past four years and was chosen as one of the Best Places to Work in South Carolina three years in a row. We were also named one of Modern Healthcare's 2019 Best Places to Work in Healthcare and received the UT Healthy Worksite Award for 2020. We are a dynamic, growing company that values its employees and the patients and health centers we serve. As passionate people who enjoy coming to work and being part of a team, we are looking for candidates who will support and embrace our company’s Cause and Core Values. If this is you, apply today!

IS Data Analyst

General Description:
IS Data Analyst is responsible for the day to day processing of client flat files into the SQL staging database; operation of all software data loads, analysis and data trending as well as updating documentation and procedures as needed. The use of SQL (creating, updating, writing, and executing) is imperative to being successful in the role of Data Analyst. Prior SQL knowledge would be of benefit to the incumbent.
An ideal candidate would be:
Someone with great analytical skills and some experience working either in an SQL or heavy spreadsheet environment working with and manipulating large amounts of data.
Someone that desires a future position in a development/programming role.
We are only looking for flexible individuals who are excited to fit in with our positive company culture and are excited about the challenges of working with a young, rapidly growing company.
Key Responsibilities:
Operate within the MS SQL environment and execute various commands and operating instructions in order to load and process client data.
Analyze results of system audits to determine and report variations or problem areas; keen attention to detail including an ability to identify data anomalies.
Create client deliverable files, reports, databases, etc. on time, according to the production schedule.
Monitors compliance with standards and processes.
Documents and maintains business naming standards.
Updates Workflow Diagram/Business Process Models.
Monitors, implements and provides ongoing support for small enhancements to new and existing data structures.
Develops, delivers user training and provides support to facilitate appropriate usage of data and metadata.
Participates in the resolution of data issues and improvement of data quality/integrity for a specific subject area. Creates and maintains existing Data Flow Diagrams.
Supports, assists Manager of Information Systems, Development in more complex tasks and initiatives.
Professional Qualities:
General business and technical knowledge of data administration tools and techniques required.
Strong written and oral communication, analytical, problem-solving, and PC skills required (Microsoft Excel Intermediate level).
Detail-minded with excellent critical thinking ability to create, improve, and evaluate a process.
Work successfully in a fast-paced production environment, multi-task varying priorities and meet tight delivery schedules.
The SQL Data Analyst demonstrates the ability to communicate effectively (both written and verbal).
Provide information to management regarding the status of day to day business, problems in processing, issues that may affect the delivery or quality of data, and open items that must be executed in his/her absence.
Broad technical aptitude and familiarity with computers and software
Flexible, adaptable personality, open to change
Conscientious and willing to take ownership of the accuracy of various data sets
Organized
Professional demeanor
Preferred Experience:
Bachelor’s degree or work experience in Computer Science, Math, Accounting, Statistics or related field
Experience performing analysis using SQL and Excel.
Experience querying data from relational databases.
1-3 years’ experience in data production preferred; and health industry knowledge and experience a strong plus.
Experience with SalesForce.com or a similar CRM system strongly preferred.
Physical Requirements:
Requires the ability to sit or stand for long periods of time, occasional stooping, and reaching; May require lifting up to 25 pounds; requires a normal range of vision and hearing with or without accommodations.
Additional Information:
Cleared Background Check Required
Employment Information:
Position Located in North Charleston, SC or Salt Lake City, UT
Benefits include health plan, dental, vision, paid time off
Flextime
401K with up to 4% match
Benefits of Full Time Employment with Equiscript:
Competitive salaries
Interesting, challenging, meaningful work
Bright, high quality teammates
Strong company culture based on teamwork and healthy competition
Group health, dental, vision, life and disability insurance
401K with up to a 4% match
Wellness programs
Company-provided training for personal and professional development
Generous PTO Policy
10 paid holidays annually
Flexible schedule
Casual dress code
Parking",4.1,"Equiscript
4.1","North Charleston, SC","North Charleston, SC",51 to 200 employees,2009,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
8,Associate Enterprise Data Analyst,$35K-$65K (Glassdoor est.),"Remedi SeniorCare is looking for an energetic IT professional to become a part of the Enterprise Data Analytics department. This person will work on a small team that will work directly with the business at all levels in developing reports and maintaining an operational data store that is critical to the ever changing business needs.
This person should be self-motivated, organized, and have strong communication skills. This role requires frequent interactions with the corporate executive team to design enhancements to our systems and create reports.

Identify key reports providing metrics for business operations
Identify key reports providing metrics for financial analysis
Design, test, validate, and publish key business intelligence reports out of Qlik
Design, test, validate, and publish reports out of Microsoft SSRS
Modify SQL database conformance at the behest of the end users
Meet with report consumers to ensure data is meeting their needs and where it is not, come up with solutions
Document/save work via version control
Develop written communication and documentation for end users
Work independently with minimal supervision
Any and all other duties assigned by Manager and/or Senior Management

Strong technical proficiency with Microsoft SQL, SSRS, and related technologies
Strong ability to optimize query performance and create efficiencies within SQL code
Strong technical proficiency with Microsoft Excel (Microsoft Access is a plus)
Strong analytical skills to understand and process complex data and then communicate to end users
Ability to understand complex database design/structure with limited documentation
Experience with data visualization tools like Qlik, Tableau, MicroStrategy, or Cognos.
Experience and technical understanding of Softwriters FrameworkLTC is a plus
Experience with the upkeep and management of a Microsoft SQL Database including writing to, querying, and monitoring performance
Ability to work with high level executives and determine requirements for reporting with little oversight
Ability to work in an AGILE environment with strict deadlines",3.3,"Remedi SeniorCare
3.3","Towson, MD","Baltimore, MD",1001 to 5000 employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
9,Data Analyst,$35K-$65K (Glassdoor est.),"Zynga is a leading developer of the world’s most popular social games that are played by people around the world every single day. To-date, more than 1 billion people have played our games across Web and mobile, including Words With Friends, FarmVille, Zynga Poker, Merge Dragons, Empires & Puzzles, Hit it Rich! Slots and CSR.

Zynga’s Data Science and Analytics team uses our outstanding and expansive data to deliver fundamental insights on who our audience is, how they engage with our games, and what are the best ways to personalize their in game experience. We strive for a better understanding of our players which translates into challenges and features that delight them.

Here’s where you would come in: A successful candidate will be passionate about using analytics and data science to impact revenue through customer-centric, data-driven initiatives. He/she will partner with other analytics/data science teams and studio leaders around the globe to identify and act on opportunities to increase engagement, retention, revenue, optimization, and improve the player experience for our customers.

Lastly, he/she will have strong technical analytical skills across a wide spectrum, including strong proficiency in scripting languages such as SQL, R and Python, telemetry definition and data modelling, data aggregation and manipulation, customer analytics, business intelligence, data visualization, and data science techniques.

Responsibilities:
Own objective evaluation of game health and all content/feature releases, through daily KPI reports, bi-weekly business health meetings, and feature/event readouts and analysis.
Engage with game leadership team to provide insights and guidance derived from quantitative study; influence and analytically validate product assumptions and roadmap.
Conduct partner relationships with leads of the Product Management, Design, Marketing, Advertising and Production organizations to understand the analytical requirements of the business.
Build KPI dashboards/reports that signal deviations from expected outcomes, empowering feature owners to run performance for the business.
Own experimentation efforts, including experimental design and analysis.
Manage game team’s data assets by defining telemetry events, architecting data models, and defining data quality governance.
Collaborate with software architects, database engineers, analysts, data scientists and game teams to drive key strategic initiatives for the improvement of the data and analytics infrastructure.
Required Skills and Experience:
B.S. or B.A. in Math, Statistics, Comp Sci, Engineering, or other quantitative field required; graduate degree preferred
3+ years of meaningful work experience in data science or analytics role in a product support capacity
Strong experience in SQL; Proficient in Python; Adept in at least one visualization tool such as Tableau.
Proven experience with some of the following: statistics, experimental design, machine learning, data mining, predictive modeling, deep learning
Experience in analyzing large datasets, preferably in a Hadoop or Spark environment, and deploying production ready systems at scale
Strong written and oral communication skills
Ability to work effectively in a fast-paced environment with changing priorities
Strong passion for gaming.
Zynga is an equal opportunity employer. We are proud of our broad community; we do not discriminate on the basis of race, sex, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, medical condition, disability, or any other class or characteristic protected by applicable law. We welcome job-seekers, players, employees, and partners from all backgrounds. Join us!

We will consider all qualified job-seekers with criminal histories in a manner consistent with applicable law.

Zynga is committed to providing reasonable accommodation to applicants with disabilities. If you need an accommodation during the interview process, please let us know.",4.1,"Zynga
4.1","Austin, TX","San Francisco, CA",1001 to 5000 employees,2007,Company - Public,Video Games,Media,$500 million to $1 billion (USD),-1
