,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$42K-$72K (Glassdoor est.),"***Please note: All hiring and recruitment at Spring Health is handled with a valid '@springhealth.com' email address only or from recruitment firms @oxeonpartners.com, @neptunepeople.com, @rivierapartners.com, or @swingtalent.com. If you receive a message from a sender whose domain is not @springhealth.com, please beware that those communications are not authorized or coming from Spring Health. ***

Our mission: helping individuals and organizations thrive by eliminating every barrier to mental health.

Spring Health is a comprehensive mental health benefit for employers. We help employees understand their mental health issues and connect with best-in-class providers to get the right treatment at the right time.

We are an award-winning, passionate, and mission-driven team with the support of leaders in psychiatry, and backed by prominent VCs including Northzone, Rethink, RRE, and General Catalyst. From early detection to full recovery, Spring Health is the only clinically validated solution proven to be more effective than traditional mental healthcare. By combining the latest technology with vetted providers, we engage 1 in 3 employees, reduce recovery times, and reduce healthcare costs.

We are looking for a Data Scientist to join our R&D team. You will be responsible for designing, developing, and implementing data products throughout our organization. You will collaborate with a team of engineers, designers, product managers, social workers, psychologists, and scientists.

We are creating the future of mental healthcare: within your first year, you’ll discover something no human ever knew before about mental health.
What you’ll do at Spring Health:
Develop analytics and secure reporting approaches for a high-performing network of mental health providers
Work with product and engineering teams to improve user acquisition, patient adherence, and clinical outcomes
Develop data infrastructure to ingest and integrate multiple data sources, ETL, validate, and create automated reports for clients
Design and build data deliverables across multiple contexts, such as: claims analyses/financial ROI, longitudinal treatment outcomes, provider quality, and risk stratification algorithms
What we expect from you:
BA/BS in Psychology, Economics, Biology, Biochemistry, or other STEM-related field.
Fluency in R
Strong presentation skills — fluently tell a compelling clinical or business story with data
Strong written communication skills — quickly compose client-facing communications or publications for peer-review
Experience with Git, Python, SQL, parallel/distributed computing, cloud computing, and other data science toolkits
Experience or knowledge of traditional statistics, e.g. measures of central tendency, descriptive statistics, and inferential statistics
Possess the initiative and ability to self-direct projects and solve unconventional problems
Proximity to NYC: minimum 2 days per week in our NY HQ, max 3 days remote
What we’d love to see:
STEM PhD— especially in Applied Sciences (e.g. Biostatistics, Psychiatry, Psychology, Biological Sciences), or 3-4 years of equivalent data analysis experience
Experience using any of the following data: EMR, clinical trials, claims data, longitudinal
Demonstrated passion for, and understanding of, mental illness and broader U.S. healthcare system
Experience programming and testing statistical/machine learning models
Experience using data visualization techniques to present key findings
Ability to quickly and independently pick up concepts and skills
Experience working cross-functionally with operations, product, engineering, and design teams
Why you’ll love working at Spring Health:
Competitive compensation plan, including equity in the company: we want you to own a piece of what you’re building.
Comprehensive benefits: we offer 401k, health, dental and vision benefits as well as free mental healthcare!
World-leading science: we’re shaping the future of mental healthcare, and are at the forefront of peer-reviewed science. You’ll be the first human to discover something about how to treat mental illness.
Flexible vacation plan: our open vacation-policy allows you to take the time off you need when you need it.
Great people: make an impact on something that truly helps people alongside an incredible team.
We care about diversity: diversity allows us to build an excellent patient experience. We are an equal opportunity employer and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
We value: humility, entrepreneurship, passion for mental health, honesty and candor/directness
If you're interested in the role, please submit your CV/Resume via email to careers@springhealth.com, along with one code sample and one writing sample.

The code samples can be in any language, and the writing sample should either be 250 words, or include a 250 word abstract. Communication skills are really important to us, and we are particularly looking for a simple, direct writing style and the ability to articulate a question and research methodology clearly.",3.6,"Spring Health
3.6","New York, NY","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
1,Associate Enterprise Data Analyst,$42K-$72K (Glassdoor est.),"Remedi SeniorCare is looking for an energetic IT professional to become a part of the Enterprise Data Analytics department. This person will work on a small team that will work directly with the business at all levels in developing reports and maintaining an operational data store that is critical to the ever changing business needs.
This person should be self-motivated, organized, and have strong communication skills. This role requires frequent interactions with the corporate executive team to design enhancements to our systems and create reports.

Identify key reports providing metrics for business operations
Identify key reports providing metrics for financial analysis
Design, test, validate, and publish key business intelligence reports out of Qlik
Design, test, validate, and publish reports out of Microsoft SSRS
Modify SQL database conformance at the behest of the end users
Meet with report consumers to ensure data is meeting their needs and where it is not, come up with solutions
Document/save work via version control
Develop written communication and documentation for end users
Work independently with minimal supervision
Any and all other duties assigned by Manager and/or Senior Management

Strong technical proficiency with Microsoft SQL, SSRS, and related technologies
Strong ability to optimize query performance and create efficiencies within SQL code
Strong technical proficiency with Microsoft Excel (Microsoft Access is a plus)
Strong analytical skills to understand and process complex data and then communicate to end users
Ability to understand complex database design/structure with limited documentation
Experience with data visualization tools like Qlik, Tableau, MicroStrategy, or Cognos.
Experience and technical understanding of Softwriters FrameworkLTC is a plus
Experience with the upkeep and management of a Microsoft SQL Database including writing to, querying, and monitoring performance
Ability to work with high level executives and determine requirements for reporting with little oversight
Ability to work in an AGILE environment with strict deadlines",3.3,"Remedi SeniorCare
3.3","Towson, MD","Baltimore, MD",1001 to 5000 employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
2,Business Intelligence Analyst,$42K-$72K (Glassdoor est.),"Reporting to the Director, Marketing Analytics, the Business Intelligence Analyst will serve as a subject matter expert on using business intelligence tools, visualization, and effectively communicating findings.

Responsibilities
Play a key role in orchestrating and automating the data analytics pipeline to make it more flexible while maintaining a high level of quality.
Work with internal stakeholders to understand their business processes and related KPIs and build dashboards to help teams effectively track these measures.
Develop intuitive yet scalable reports and dashboards to track performance and aid in planning and decision making.
Help define metrics, build KPIs, and suggest improvements to the business.
Analyze complex data sets, track and measure insights, build critical reports, and draw key insights.
Own the design, development, and maintenance of ongoing metrics, reports, analyses, dashboards, etc. to drive key business decisions.
Design/Develop data modules that convert underlying raw data to more readily usable formats for reporting, data mining etc.
Optimize and improve efficiencies, quality, timeliness and sort out relevance of current routine reports and processes.
Perform other duties and projects as assigned by leadership.
Required Skills

Requirements
BA./B.S. degree is preferred or equivalent in Computer Science, MIS, or a comparable field of study is preferred.
2+ years’ industry experience working with data.
Experience working with a broad set of data integration technologies and databases.
Proficient skills in standard concepts, best practices, and procedures in designing data.
Strong ability to communicate the results of the analysis to non-technical and technical audiences.
Able to work independently with confidence and little oversight.
Comfortable with new technology and quick iterations.
The candidate should be comfortable building interactive dashboards, data modeling, and using business intelligence tools (R, SQL, Power BI, Tableau, Interactive Dashboards, MS Excel, and MS Access) to extract, transform and load data (ETL) from multiple databases. Also, having the ability to connect databases for report automation purposes; as well as, strong analytical and statistical analysis skills to extract insights for prescriptive analyses.
The ideal candidate should possess both technical and business knowledge and have the ability to organize and present complex/raw data in a way that tells a compelling story, provides actionable insights and drives business decisions.
We are seeking a team player who excels at understanding the needs of the customer, understanding our data sets, is able to create dynamic reports for our business users, and develop novel insights into our rapidly growing business.
The responsibilities are many, various, and not limited to those written in this document

Required Experience

Job Location
Fort Lauderdale, US-FL",3.7,"Zimmerman Advertising
3.7","Fort Lauderdale, FL","Fort Lauderdale, FL",501 to 1000 employees,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
3,Data Scientist,$42K-$72K (Glassdoor est.),"JOB DESCRIPTION:

Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you?

We develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. You will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. You will be working side by side with application developers and customers on real world problems with actual manufacturing data.

JOB FUNCTION:

Basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data.

Responsibilities:
Perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. Incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness.
Prototype algorithms for proof of concept, validation, and software implementation.
Support performance evaluations and the transition of algorithms into existing fault detection and classification systems.
Convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications.
Other related functions as assigned.

REQUIRED QUALIFICATIONS:
Bachelor's degree in computer science or chemical engineering or related technical field.
Demonstrated ability in machine learning/artificial intelligence (ML/AI) development and/or scientific modelling and data analysis.
Demonstrated ability with python/MATLAB or similar abstract language. Experience with both traditional ML and modern deep learning approaches.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with SQL, Graph stores, or NoSQL stores.
Applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. The position will require attention to detail, effective problem solving skills and excellent judgment. Ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision.

COMPENSATION & BENEFITS:

Compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance.

INFICON, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. A notice describing Federal equal employment opportunity laws is available here and here to reaffirm this commitment.

PI120660357",3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies"
4,Sr Data Engineer (Sr BI Developer),$42K-$72K (Glassdoor est.),"Description/Responsibilities


Responsible for the ongoing support of existing Data management solutions, as well as development of new functionality to include sophisticated data management solutions, to enable colleagues to support tactical and strategic decision making. Extracts, models, transforms, and loads data into databases required for Analytics and Reporting. Collaborates with EIS to deliver production ready data assets in support of DM delivery requirements.
Understands complex business requirements and translates into technical specifications.
Uses highest level of subject matter expertise to decide on data modeling, data sourcing, data quality, and DM delivery solutions.
Performs complex data analysis and system profiling to create clear data definitions.
Incorporates complex new data requirements and/or new applications into the warehouse environments.
Reengineer existing system and automate as needed.
Mentor or coach junior levels of developers.
Qualifications
Bachelor’s degree or an equivalent combination of education and related work experience
5 years of work experience as ETL/CUBE Developer
Work experience with multiple database platforms and DM delivery solutions
5 years of experience with ETL, data marts and cubes, implementing and supporting production environments.
5 years of experience designing, building and implementing data warehouse solutions with Microsoft technologies including SQL Server, SSIS, SSAS skill with MDX and DAX skill with tabular cube is a must.
Experience delivering DM solutions with an Agile DM delivery methodology
Experience in working with Healthcare data preferred
Preferred Qualifications:
Experience implementing and delivering solutions with Big Data platforms like Hadoop
Ability to communicate, present and interact comfortably with senior leadership
Demonstrated proficiency implementing self-service solutions to empower an organization to generate valuable actionable insights
Strong team player as well as an individual contributor as situation calls for.
Ability to understand information quickly, derive insight, synthesize information clearly and concisely, and devise solutions
Inclination to take initiative, set priorities, take ownership of assigned projects and initiatives, drive for results, and collaborate to achieve greatest value
Strong relationship-building and interpersonal skills
Demonstrated self-confidence, honesty and integrity
Ability to travel as business needs require (expected
5071

About Tivity Health

Tivity Health®, Inc. (tivityhealth.com) is a leading provider of health improvement, nutrition, fitness and social engagement solutions at scale to improve clinical outcomes, reduce healthcare costs and create opportunities to feel better, work better and live better. With decades of clinical and operational expertise, the company touches millions of consumers through its integrated portfolio of brands and works directly with hundreds of healthcare practitioners and many of the nation’s largest payers and employers. Tens of millions of Americans are currently eligible for Tivity Health’s SilverSneakers®, Prime® Fitness, WholeHealth Living™ and flip50™ programs and millions of people have lost weight with Nutrisystem®, South Beach Diet® and DNA BodyBlueprint™. As part of its commitment to tackling social isolation and loneliness, in 2017, Tivity Health launched a rural aging initiative to address challenges unique to older adults in rural communities.

Tivity Health is an equal employment opportunity employer and is committed to a proactive program of diversity development. Tivity Health will continue to recruit, hire, train, and promote into all job levels without regard to race, religion, gender, marital status, familial status, national origin, age, mental or physical disability, sexual orientation, gender identity, source of income, or veteran status.",3.2,"Tivity Health
3.2","Chandler, AZ","Franklin, TN",501 to 1000 employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
5,Data Scientist,$42K-$72K (Glassdoor est.),"The Data Scientist supports the development of statistical models that will enable future growth and profitability for our book of business through appropriate pricing, underwriting and risk segmentation. He/she will report to the Manager of Data Science and will be involved in research, development and implementation of analytical solutions based on statistical models.
Essential Functions and Responsibilities
Performs data mining and data cleansing tasks.
Prepare datasets for modeling through balancing and validation.
Produces predictive models which enable the creation of rating plans and evaluation of risk.
Assists decision makers with studies that evaluate new business models to evaluate customers’ profitability including customers and/or risk segmentation, retention and lifetime value modeling.
Communicates to diverse audiences, including technical and non-technical.
Manages projects of moderate complexity.
Supports modeling requests made by other departments.
Works closely with others to gain strong understanding of insurance concepts and processes.
Perform other job-related duties as assigned.
Qualifications and Education
Broad thinker with the ability to synthesize information from various sources and apply that information to concrete business problems. Strong decision-making skills.
Solid skills and training in predictive modeling, data mining and other quantitative and research analytics (, Multivariate Analysis, Bayesian Methods, Generalized Linear Models, Non-Linear Models, Decision Trees, Non- Parametric estimation etc.).
Strong programming ability in SAS, SQL, R or other programming languages and proficiency in scripting languages and ability to build code and algorithms to tackle statistical problems.
Excellent written and oral communication and presentation skills.
Self-starter and strong individual contributor.
Solid understanding of database principles and experience working with large databases.
Knowledge of auto insurance will be a plus.
1 or more years of experience developing and implementing multivariate predictive models using GLM and other statistical methods.
Masters in economics, statistics, or related field required, PhD preferred.
About the Company
The Plymouth Rock Company and its affiliated group of companies write and manage over $1.4 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,800 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.",3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance"
6,Data Scientist,$42K-$72K (Glassdoor est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI"
7,Senior Data Scientist,$42K-$72K (Glassdoor est.),"Secure our Nation, Ignite your Future

Job Summary

Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.

In response to this challenge, ManTech, as a trusted mission partner of CBP, seeks capable, qualified, and versatile Senior Data Scientist to help lead the development and delivery of high-quality predictive modelling solutions. Successful applicants will serve as recognized subject matter experts in the application of quantitative methods, machine learning algorithms, and predictive models to address complex national and homeland security challenges. They will help our team to leverage large structured and unstructured datasets to develop and operationalize models, tools, and applications that drive optimized decision making. Project tasks include data collection, mining, data and text analytics, clustering analysis, pattern recognition and extraction, automated classification and categorization, and entity resolution to implement and enhance automated risk assessment. The products we develop provide actionable insight with real and immediate impact on the safety and security of the United States, its citizens, visitors, and economy.

Required Qualifications
Experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems
Experience with programming languages including: R, Python, Scala, Java
Proficiency with SQL programming
Experience constructing and executing queries to extract data in support of EDA and model development
Proficiency with statistical software packages including: SAS, SPSS Modeler, R, WEKA, or equivalent
Experience with unsupervised and supervised machine learning techniques and methods
Experience working with large-scale (e.g., terabyte and petabyte) unstructured and structured data sets and databases
Experience performing data mining, analysis, and training set construction
Bachelors Degree (required) or Masters Degree in mathematics, statistics, computer science/engineering, or other related technical fields with equivalent practical experience
Desired Skills:
Proficiency with Unsupervised Machine Learning methods including Cluster Analysis (e.g., K-means, K-nearest Neighbor, Hierarchical, Deep Belief Networks, Principal Component Analysis), Segmentation, etc.
Proficiency with Supervised Machine Learning methods including Decision Trees, Support Vector Machines, Logistic Regression, Random/Rotation Forests, Categorization/Classification, Neural Nets, Bayesian Networks, etc.
Experience with pattern recognition and extraction, automated classification, categorization, and entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation).
Experience with visualization tools and techniques (e.g., Periscope, Business Objects, D3, ggplot, Tableau, SAS Visual Analytics, PowerBI)
Experience with big data technologies (e.g., Hadoop, HIVE, HDFS, HBase, MapReduce, Spark, Kafka, Sqoop)
Active Top Secret Clearance
Clearance

Applicants selected must be a US Citizen and able to obtain and maintain a U.S. Customs and Border Protection (CBP) Background Investigation.

#LI-FA1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
8,Data Scientist,$42K-$72K (Glassdoor est.),"Why We Work at Dun & Bradstreet


We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!



As a Data Scientist, you will develop novel solutions to market-driven problems using knowledge of the latest ML techniques, rigorous statistical analysis, and practical experience on previous data science projects. You will collaborate with internal and external stakeholders (external customers, other D&B data scientists, sales team members, business unit product leaders, development teams, and global partners) to understand business needs and technical requirements.

You will also:
Serve as a Subject Matter Expert on internal D&B data, and estimation of business size.
Participate and support other teams as needed for all aspects of model development, including design, model implementation, validation, calibration, documentation, product implementation, monitoring, and reporting
Research complex business issues and recommend solutions, including customer data input requirements, other required data sets, modeling approaches, and end products
Basic Qualifications:
Masters in a quantitative / applied field (Engineering, Computer Science, Operations Research, Mathematics, Data Science, Economics, Statistics).
2+ years of experience in data science roles.
Strong knowledge of programming and modeling using Python, R, or SAS.
Strong SQL skills and experience working with large data sets.
Experience working collaboratively, including building and maintaining relationships with internal and external stakeholders/clients.
Experience advising a team on innovative methodologies, data science tools, and environments.
Experience communicating complex ideas to both a technical and non-technical audience.
Experience applying modern machine learning techniques.
Preferred Qualities
Creative and inquisitive in nature, flexibility to learn and apply new methodologies.
Strong writing skills.
Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com.",3.1,"Dun & Bradstreet
3.1","Austin, TX","Short Hills, NJ",1001 to 5000 employees,1841,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD),"Experian, Equifax"
9,Data Scientist,$42K-$72K (Glassdoor est.),"We are looking for Data Scientists who are interested in using data to draw insights that will result in policy changes or business process optimisation, benefiting the public. The applicant will be scoping projects with stakeholders, using data sets across Government Agencies, applying business acumen to tease out relevant impactful insights, and presenting insights in a clear, concise manner by using appropriate visualisations.

He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation. He/she should also be comfortable with engaging stakeholders on sharpening their business problems.

The analytics work that we do are typically action oriented and cross-cutting across various domains such as social, economic and infrastructure sectors. Over time, he/she will gain exposure to various policy and ops domains and become more adept in bridging between business users and technical expertise.

What to Expect:
Work closely with stakeholders to understand their business challenges, scope the problem and develop business case on how to turn data into critical information and knowledge that are actionable and impactful,.
Perform data cleaning, pre-processing, feature engineering and build relevant models to conduct meaningful analysis. Apply appropriate visualisation techniques to communicate the insight effectively. Iterate with the stakeholders to perform subsequent deep dives based on the initial insights.
Depending on the use case, design of dashboards and interactive visualisations as tools for data exploration and storytelling may be expected.
Potentially deployed to other Government Agencies to be their resident Data Scientist. This will involve formulating and implementing strategies to build strong pipeline of impactful projects at the Agency and executing these projects.
How to Succeed:

Bachelor Degree in Computer Science, Statistics, Economics, Quantitative Social Science, or related degrees. Advanced degrees preferred. We will also factor in relevant certifications (e.g., Coursera)
Minimum 2 years of relevant working experience, preferably in public sector or data science field
Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges
Understand key concepts, techniques and considerations in machine learning and data analytics
Training and relevant experience in one or more of the following areas:
Data science tools such as R, Python
Visual analytics technologies like Tableau, Qlik
Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders
Strong analytical, conceptualisation and problem solving skills
Team player with strong organization and people handling skills
Passion for the use of analytics and data to improve Public Service",3.7,"GovTech
3.7","San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
